,Date,Mode,Category,Subcategory,Note,Amount,Income/Expense,Currency
0,2018-09-20,Cash,Transportation,Train,2 Place 5 to Place 0,30.0,Expense,INR
1,2018-09-20,Cash,Food,snacks,Idli medu Vada mix 2 plates,60.0,Expense,INR
2,2018-09-19,Saving Bank account 1,subscription,Netflix,1 month subscription,199.0,Expense,INR
3,2018-09-17,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,19.0,Expense,INR
4,2018-09-16,Cash,Festivals,Ganesh Pujan,Ganesh idol,251.0,Expense,INR
5,2018-09-15,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,200.0,Expense,INR
6,2018-09-14,Cash,Transportation,auto,Place 2 station to Permanent Residence,50.0,Expense,INR
7,2018-09-13,Saving Bank account 1,Transportation,Train,2 Place 0 to Place 3,40.0,Expense,INR
8,2018-09-13,Credit Card,Other,,HBR 2 Months subscription,83.0,Expense,INR
9,2018-09-13,Cash,Food,Grocery,1kg atta,46.0,Expense,INR
10,2018-09-13,Saving Bank account 1,Small Cap fund 2,,,5000.0,Transfer-Out,INR
11,2018-09-13,Saving Bank account 1,Small cap fund 1,,,5000.0,Transfer-Out,INR
12,2018-09-12,Credit Card,subscription,Mobile Service Provider,Data booster pack,667.0,Expense,INR
13,2018-09-11,Saving Bank account 1,Food,Lunch,Home Food Delivery,650.0,Expense,INR
14,2018-09-11,Saving Bank account 1,Other,,From Family,3500.0,Income,INR
15,2018-09-11,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
16,2018-09-10,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
17,2018-09-08,Cash,Family,Pocket money,,40.0,Expense,INR
18,2018-09-07,Cash,Food,Milk,Half lit  milk,37.0,Expense,INR
19,2018-09-07,Saving Bank account 1,Equity Mutual Fund E,,,1000.0,Transfer-Out,INR
20,2018-09-06,Cash,Food,snacks,Amul butter,55.0,Expense,INR
21,2018-09-05,Cash,Apparel,Laundry,11 clothes ironing,77.0,Expense,INR
22,2018-09-05,Cash,Food,snacks,Chinese Bhel,30.0,Expense,INR
23,2018-09-05,Cash,Food,snacks,Shev Puri,40.0,Expense,INR
24,2018-09-05,Cash,Food,snacks,2 kachori,24.0,Expense,INR
25,2018-09-05,Saving Bank account 1,Food,Milk,Half lit  milk,36.0,Expense,INR
26,2018-09-05,Saving Bank account 1,Food,breakfast,Bread,18.0,Expense,INR
27,2018-09-03,Cash,Family,Pocket money,,2000.0,Expense,INR
28,2018-09-01,Saving Bank account 1,Public Provident Fund,,,12500.0,Transfer-Out,INR
29,2018-09-01,Equity Mutual Fund B,Saving Bank account 1,,,2000.0,Transfer-Out,INR
30,2018-08-31,Cash,Family,Pocket money,,1000.0,Expense,INR
31,2018-08-31,Cash,Gift,,farewell contribution,118.0,Expense,INR
32,2018-08-31,Credit Card,Food,Dinner,Domino's Pizza,510.85,Expense,INR
33,2018-08-31,Saving Bank account 1,Salary,,From workplace ,70255.0,Income,INR
34,2018-08-31,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
35,2018-08-30,Cash,Food,Sweets,Warna Srikhand pav kg,78.0,Expense,INR
36,2018-08-30,Cash,Household,Kirana,Supermart,343.0,Expense,INR
37,2018-08-29,Cash,Food,Grocery,Baking soda,27.0,Expense,INR
38,2018-08-29,Cash,Food,Ice cream,chocobar,15.0,Expense,INR
39,2018-08-29,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
40,2018-08-28,Saving Bank account 1,Dividend earned on Shares,,Astral Stocks,6.75,Income,INR
41,2018-08-28,Saving Bank account 1,Dividend earned on Shares,,Reliance Stocks,18.0,Income,INR
42,2018-08-27,Cash,Food,curd,Dahi 2 packets,20.0,Expense,INR
43,2018-08-27,Cash,Food,breakfast,2 plates poha,60.0,Expense,INR
44,2018-08-27,Cash,Food,Biscuits,Khari packet,45.0,Expense,INR
45,2018-08-27,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
46,2018-08-26,Saving Bank account 1,Interest,,interest paid,30.0,Income,INR
47,2018-08-25,Cash,Apparel,Laundry,13 clothes ironing,91.0,Expense,INR
48,2018-08-24,Credit Card,Food,Dinner,Home Food Delivery,1120.0,Expense,INR
49,2018-08-24,Saving Bank account 1,Other,,From Family,1000.0,Income,INR
50,2018-08-24,Cash,Food,Rajgira ladu,,20.0,Expense,INR
51,2018-08-24,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
52,2018-08-24,Cash,Festivals,Navratri,Ganpati+ navratri vargani,1000.0,Expense,INR
53,2018-08-23,Credit Card,Transportation,train,2 Place 2 to Place 3 : Sevagram express 3AC,1305.4,Expense,INR
54,2018-08-23,Credit Card,Transportation,train,2 Place 3 to Place 2 : Amritsar express 3AC,1205.4,Expense,INR
55,2018-08-23,Saving Bank account 1,Food,Lunch,Catering Service,60.0,Expense,INR
56,2018-08-22,Cash,Food,Milk,Half lit  milk,37.0,Expense,INR
57,2018-08-22,Saving Bank account 1,Life Insurance,,,11043.0,Transfer-Out,INR
58,2018-08-21,Cash,Food,Tea,cutting chai,12.0,Expense,INR
59,2018-08-21,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
60,2018-08-19,Saving Bank account 1,subscription,Netflix,1 month subscription,199.0,Expense,INR
61,2018-08-17,Saving Bank account 1,Food,curd,Dahi 2 packets,20.0,Expense,INR
62,2018-08-17,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
63,2018-08-17,Saving Bank account 1,Dividend earned on Shares,,Pidilite Stocks,22.0,Income,INR
64,2018-08-16,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,157.0,Expense,INR
65,2018-08-15,Cash,Food,Sweets,Warna Srikhand half kg,290.0,Expense,INR
66,2018-08-15,Cash,Food,flour mill,M D sure 4kg atta,216.0,Expense,INR
67,2018-08-14,Saving Bank account 1,Dividend earned on Shares,,ITC Stocks,124.0,Income,INR
68,2018-08-14,Cash,Family,Pocket money,,30.0,Expense,INR
69,2018-08-14,Cash,Food,snacks,Dahi,32.0,Expense,INR
70,2018-08-14,Cash,Household,Kirana,Toothpaste Patanjali,160.0,Expense,INR
71,2018-08-14,Cash,Apparel,Laundry,8 clothes ironing,56.0,Expense,INR
72,2018-08-14,Cash,Food,Ice cream,Vanila family pack,115.0,Expense,INR
73,2018-08-13,Cash,Household,Appliances,5 litres can Distilled water,100.0,Expense,INR
74,2018-08-13,Cash,Household,home decor,Brass Puja plate and diva,220.0,Expense,INR
75,2018-08-13,Cash,Food,Grocery,Half kg Lahsoon,45.0,Expense,INR
76,2018-08-13,Cash,Household,Kirana,Supermart,594.0,Expense,INR
77,2018-08-13,Cash,Food,Ice cream,Vanila cup,10.0,Expense,INR
78,2018-08-13,Cash,Food,Ice cream,chocobar,20.0,Expense,INR
79,2018-08-13,Saving Bank account 1,Small Cap fund 2,,,5000.0,Transfer-Out,INR
80,2018-08-13,Saving Bank account 1,Small cap fund 1,,,5000.0,Transfer-Out,INR
81,2018-08-11,Cash,Food,snacks,8 kachori,96.0,Expense,INR
82,2018-08-10,Cash,Family,Pocket money,,35.0,Expense,INR
83,2018-08-07,Saving Bank account 1,Equity Mutual Fund E,,,1000.0,Transfer-Out,INR
84,2018-08-06,Cash,Beauty,grooming,hair cut,100.0,Expense,INR
85,2018-08-05,Cash,Family,Pocket money,,100.0,Expense,INR
86,2018-08-05,Cash,Food,Tea,cutting chai,10.0,Expense,INR
87,2018-08-05,Credit Card,Health,Health,eyewear Glasses payment remaining,4300.0,Expense,INR
88,2018-08-05,Credit Card,Apparel,Clothing,For Family,3410.0,Expense,INR
89,2018-08-05,Cash,Transportation,Train,Place 0 to Place 4 return,20.0,Expense,INR
90,2018-08-05,Cash,Transportation,auto,Current Residence to Place 0,15.0,Expense,INR
91,2018-08-05,Credit Card,Family,clothes,Bows,398.0,Expense,INR
92,2018-08-03,Saving Bank account 1,Other,,From Family,100.0,Income,INR
93,2018-08-03,Cash,Family,Pocket money,,2000.0,Expense,INR
94,2018-08-03,Saving Bank account 1,Dividend earned on Shares,,Redington Stocks,180.0,Income,INR
95,2018-08-02,Cash,Household,Kirana,Supermart,18.0,Expense,INR
96,2018-08-02,Cash,Food,flour mill,M D sure 4kg atta,216.0,Expense,INR
97,2018-08-02,Cash,Health,Health,eyewear Glasses advance,1000.0,Expense,INR
98,2018-08-01,Cash,Family,Pocket money,,40.0,Expense,INR
99,2018-08-01,Saving Bank account 1,Public Provident Fund,,,12500.0,Transfer-Out,INR
100,2018-08-01,Equity Mutual Fund B,Saving Bank account 1,,,2000.0,Transfer-Out,INR
101,2018-07-31,Cash,Apparel,Laundry,13 clothes ironing,91.0,Expense,INR
102,2018-07-31,Saving Bank account 1,Money transfer,Home,,30000.0,Expense,INR
103,2018-07-31,Cash,maid,,July salary,2000.0,Expense,INR
104,2018-07-31,Cash,Food,chocolate,10 melody,10.0,Expense,INR
105,2018-07-31,Saving Bank account 1,Salary,,From workplace ,70255.0,Income,INR
106,2018-07-30,Cash,Health,Medicine,Glucose D(50) + flora bc (40)+cyra 20(10),100.0,Expense,INR
107,2018-07-30,Cash,Health,Medicine,,132.0,Expense,INR
108,2018-07-30,Saving Bank account 1,Food,Lunch,Catering Service,212.0,Expense,INR
109,2018-07-30,Cash,Food,breakfast,1 plates poha,25.0,Expense,INR
110,2018-07-29,Saving Bank account 1,Food,Eating out,Paneer pizza,260.0,Expense,INR
111,2018-07-29,Cash,Transportation,auto,Decathlon Place A to Place A station,50.0,Expense,INR
112,2018-07-29,Cash,Transportation,auto,Current Residence to Place 0,15.0,Expense,INR
113,2018-07-29,Saving Bank account 1,Transportation,Train,2 Place 0 to Place A returns,40.0,Expense,INR
114,2018-07-29,Cash,Food,breakfast,Medu vada 3 plate,105.0,Expense,INR
115,2018-07-28,Cash,Family,Pocket money,,200.0,Expense,INR
116,2018-07-28,Debit Card,Culture,Movie,2 INOX ,481.36,Expense,INR
117,2018-07-28,Cash,Food,vegetables,,195.0,Expense,INR
118,2018-07-28,Credit Card,Household,Kirana,Supermart,3750.0,Expense,INR
119,2018-07-27,Saving Bank account 1,Other,,Demat account charges,826.0,Expense,INR
120,2018-07-26,Cash,Food,Biscuits,Toast packet,40.0,Expense,INR
121,2018-07-26,Saving Bank account 1,Tax refund,,,6780.0,Income,INR
122,2018-07-23,Credit Card,subscription,Tata Sky,Current Residence - Tata Play recharge,154.0,Expense,INR
123,2018-07-23,Cash,Food,breakfast,4 plates poha,100.0,Expense,INR
124,2018-07-21,Cash,Household,Kirana,Supermart,368.0,Expense,INR
125,2018-07-21,Cash,Food,fruits,Khajur pav kg,30.0,Expense,INR
126,2018-07-21,Saving Bank account 1,Food,snacks,2 Bhajipav + 2 vadapav,60.0,Expense,INR
127,2018-07-21,Cash,Food,Biscuits,Toast packet,45.0,Expense,INR
128,2018-07-20,Cash,Food,Ice cream,chocobar,20.0,Expense,INR
129,2018-07-20,Cash,Food,Potato,potato 1kg,25.0,Expense,INR
130,2018-07-20,Cash,Food,Onions,onion 1 kg,25.0,Expense,INR
131,2018-07-20,Saving Bank account 1,Transportation,Taxi,Ola cab - eye institute to Current Residence CHS,155.0,Expense,INR
132,2018-07-20,Cash,Health,Medicine,Cataract Medicine,87.0,Expense,INR
133,2018-07-20,Credit Card,Health,Medicine,Cataract Medicine,1048.0,Expense,INR
134,2018-07-19,Cash,Food,curd,Dahi 4 packets,40.0,Expense,INR
135,2018-07-18,Cash,Food,flour mill,M D sure 4kg atta,216.0,Expense,INR
136,2018-07-16,Cash,Apparel,Laundry,12 clothes ironing,84.0,Expense,INR
137,2018-07-16,Credit Card,Household,Hardware,Sony WI-C100 earphones wireless,1190.0,Expense,INR
138,2018-07-16,Cash,Food,snacks,7 kachori,84.0,Expense,INR
139,2018-07-15,Cash,Food,fruits,,30.0,Expense,INR
140,2018-07-15,Cash,Food,vegetables,,500.0,Expense,INR
141,2018-07-15,Cash,Food,snacks,4 kachori,48.0,Expense,INR
142,2018-07-14,Saving Bank account 1,Other,,CA  - income tax filing,2000.0,Expense,INR
143,2018-07-13,Saving Bank account 1,Transportation,Taxi,Ola cab - eye institute to Current Residence CHS,188.0,Expense,INR
144,2018-07-13,Credit Card,Health,Medicine,Cataract Medicine,1358.0,Expense,INR
145,2018-07-13,Saving Bank account 1,Small Cap fund 2,,,5000.0,Transfer-Out,INR
146,2018-07-13,Saving Bank account 1,Small cap fund 1,,,5000.0,Transfer-Out,INR
147,2018-07-12,Cash,Food,Eggs,6 eggs,35.0,Expense,INR
148,2018-07-11,Cash,Food,Bread,2 bread packets,57.0,Expense,INR
149,2018-07-10,Saving Bank account 1,Dividend earned on Shares,,Tata Steel Stocks,180.0,Income,INR
150,2018-07-09,Cash,Transportation,Petrol,3.4 Lit Petrol,360.0,Expense,INR
151,2018-07-09,Cash,Food,Biscuits,Toast packet,20.0,Expense,INR
152,2018-07-09,Cash,Food,Grocery,Shev bhaji sev pav kg,60.0,Expense,INR
153,2018-07-08,Cash,Transportation,Taxi,Ola cab - eye institute to Current Residence CHS,185.0,Expense,INR
154,2018-07-08,Saving Bank account 1,Food,Tea,3 cutting chai,30.0,Expense,INR
